# Units: length:mm angle:deg time:s 
# Stage: ACreep_Perforated_WJ_3holes2 Bild000
stage;index;relative_time;date
"ACreep_Perforated_WJ_3holes2 Bild000";1;0.0000;"2025-05-20T11:27:45.190"
# Name : Flächenkomponente 1
id;x;y;z;epsilon_x;epsilon_xy;epsilon_y;major_strain;minor_strain;mises_strain;thickness_strain
0;0.5887;51.0997;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
1;1.1284;51.1016;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
2;1.6681;51.1035;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
3;2.2078;51.1055;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
4;2.7475;51.1074;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
5;3.2872;51.1093;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
6;3.8269;51.1112;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
7;4.3666;51.1131;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
8;4.9063;51.1150;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
9;5.4460;51.1169;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
10;5.9857;51.1189;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
11;6.5254;51.1208;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
12;7.0651;51.1227;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
13;7.6048;51.1246;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
14;8.1445;51.1265;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
15;8.6842;51.1284;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
16;9.2239;51.1303;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
17;9.7636;51.1323;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
18;10.3033;51.1342;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
19;10.8431;51.1361;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
20;11.3828;51.1380;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
21;11.9225;51.1399;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
22;12.4622;51.1418;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
23;13.0019;51.1437;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
24;13.5416;51.1457;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
25;14.0813;51.1476;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
26;14.6210;51.1495;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
27;15.1607;51.1514;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
28;15.7004;51.1533;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
29;16.2401;51.1552;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
30;16.7798;51.1571;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
31;17.3195;51.1590;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
32;17.8592;51.1610;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
33;18.3989;51.1629;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
34;18.9386;51.1648;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
35;19.4783;51.1667;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
36;19.7994;50.8499;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
37;19.7972;50.3102;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
38;19.7949;49.7705;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
39;19.7927;49.2308;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
40;19.7904;48.6911;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
41;19.7882;48.1514;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
